DFM,AL4_P,TM-score,TM-align,Z-score,AL0_P,QCS,Handed.,SS
0.04,98.2,0.944,0.947,8.25,95.5,97.79,0.96,0.69
0.41,49.09,0.44,0.438,1.68,23.64,62.54,0.86,0.485
0.17,95.73,0.811,0.815,8.06,85.47,89.52,0.93,0.527
0.04,98.2,0.938,0.941,8.25,95.5,97.52,0.96,0.68
0.04,98.2,0.94,0.943,8.25,95.5,97.12,0.96,0.692
0.36,79.49,0.661,0.682,6.39,58.97,74.41,0.85,0.39
0.18,94.02,0.8,0.804,7.95,84.62,87.04,0.92,0.521
0.56,47.06,0.442,0.482,3.2,42.94,45.41,0.91,0.486
0.34,41.18,0.394,0.386,2.02,35.29,48.61,0.91,0.488
0.05,98.2,0.923,0.923,10.02,95.81,95.92,0.96,0.677
0.18,91.45,0.79,0.803,8.06,72.65,86.65,0.92,0.541
0.05,96.83,0.97,0.97,10.97,95.93,98.62,0.97,0.741
0.08,86.96,0.905,0.912,13.71,75.43,97.53,0.95,0.683
0.08,86.96,0.891,0.9,12.6,74.13,97.55,0.94,0.681
0.04,98.2,0.936,0.939,8.25,95.5,97.54,0.96,0.692
0.18,93.16,0.824,0.83,8.06,77.78,87.17,0.92,0.545
0.18,91.45,0.8,0.809,7.95,73.5,86.71,0.92,0.522
1.1,26.47,0.255,0.248,0.19,24.71,32.46,0.64,0.455
0.22,52.73,0.447,0.442,3.09,34.55,63.68,0.88,0.518
0.16,70.0,0.519,0.521,3.21,60.0,51.51,0.85,0.404
0.17,60.91,0.535,0.534,3.75,55.45,64.97,0.87,0.549
0.07,97.44,0.952,0.951,8.37,96.58,97.56,0.97,0.662
0.05,96.83,0.973,0.973,11.04,96.38,98.79,0.97,0.748
1.0,0.0,0.267,0.352,-0.01,0.0,30.15,0.58,0.24
0.08,84.35,0.875,0.888,12.45,73.91,98.95,0.94,0.685
0.06,94.78,0.934,0.934,13.82,86.3,97.05,0.96,0.681
0.37,40.59,0.391,0.419,2.65,33.53,54.92,0.91,0.512
0.12,71.82,0.642,0.635,5.05,69.09,77.58,0.94,0.569
0.5,42.35,0.385,0.378,2.49,31.76,50.01,0.91,0.533
1.4,40.59,0.397,0.39,2.25,39.41,38.15,0.87,0.502
0.03,75.0,0.574,0.571,3.04,60.0,87.53,0.93,0.557
0.04,98.2,0.922,0.926,8.25,94.59,97.35,0.96,0.675
0.18,90.6,0.778,0.798,8.06,71.79,85.43,0.91,0.532
0.55,41.76,0.402,0.396,2.33,38.24,52.16,0.88,0.486
0.06,80.0,0.62,0.616,3.89,65.0,68.33,0.89,0.444
0.17,89.74,0.825,0.827,7.22,80.34,88.68,0.92,0.489
0.64,46.47,0.435,0.437,3.2,43.53,51.35,0.91,0.53
0.04,98.2,0.94,0.943,8.25,95.5,97.44,0.96,0.678
