GDT_TS,GDT_HA,GDC_SC,rmsd
82.66,62.84,31.06,1.8
78.21,59.67,27.07,3.32
59.55,47.27,26.67,18.31
66.55,52.81,25.72,6.95
88.17,73.36,56.96,2.05
94.66,80.13,61.09,1.37
90.17,76.28,56.46,1.57
84.51,70.07,41.76,1.95
63.77,53.29,40.22,16.56
95.05,82.66,59.17,1.35
92.57,77.03,55.24,1.59
28.53,20.15,8.43,40.01
57.5,40.41,14.0,5.79
79.92,64.53,43.29,2.52
89.82,73.2,56.82,1.32
80.63,65.49,35.07,2.42
93.69,79.06,53.19,1.5
66.2,52.47,29.5,7.04
95.72,84.23,59.23,1.34
28.2,17.09,3.35,9.74
77.47,60.91,28.36,2.87
72.05,54.55,35.62,5.24
91.82,83.64,66.5,9.71
91.0,83.18,66.9,9.68
80.0,62.92,36.02,1.95
90.89,83.18,63.44,9.66
79.29,63.04,39.76,3.2
93.56,82.03,64.76,1.15
75.35,58.8,30.32,4.02
70.0,51.66,19.66,3.33
95.7,90.16,71.58,1.34
65.6,46.16,23.23,4.57
38.64,28.64,11.0,13.12
95.36,88.01,72.72,1.32
94.14,80.41,60.16,1.5
77.66,58.64,41.15,3.02
82.5,65.42,33.98,2.31
87.42,72.0,56.0,1.68
78.7,61.9,39.18,3.2
86.36,79.55,49.58,6.43
18.18,12.04,1.17,20.96
90.65,83.53,64.0,9.76
90.89,83.18,64.62,9.75
76.92,57.05,21.13,2.55
57.35,52.94,30.04,14.79
95.14,87.22,71.85,1.27
94.14,80.86,57.51,1.37
85.21,70.42,28.39,1.93
75.83,60.84,32.12,2.79
93.69,81.98,60.0,1.46
76.25,61.25,30.64,2.73
42.35,30.14,14.11,24.78
28.82,20.29,12.45,36.47
93.81,84.93,64.68,1.43
65.49,52.47,28.48,7.05
78.75,65.0,30.72,2.78
78.75,60.0,32.61,1.88
95.27,85.81,58.12,1.27
78.26,60.22,40.18,3.13
92.57,79.28,53.69,1.43
93.71,81.89,64.9,1.06
64.58,49.58,28.33,9.6
70.96,55.09,44.23,14.27
74.25,63.47,48.42,8.43
93.47,83.11,58.41,1.49
73.59,55.98,25.02,2.71
96.58,88.46,65.07,1.28
65.14,51.41,25.31,7.1
10.33,5.54,0.61,33.26
34.12,26.32,16.16,38.84
95.7,88.12,71.71,1.36
92.5,80.42,49.77,1.08
90.3,84.11,65.23,9.83
90.65,84.23,62.62,9.79
93.33,80.0,50.42,0.91
78.85,62.82,39.6,2.59
72.08,56.66,28.48,3.22
79.27,62.18,39.92,2.06
51.67,39.16,22.16,11.7
91.47,78.44,58.61,1.34
72.18,53.52,25.75,3.9
80.42,60.41,25.19,1.98
91.0,83.76,62.92,9.72
63.77,47.6,30.39,9.39
74.19,55.33,37.84,3.44
29.85,21.47,11.07,17.28
89.84,81.42,61.94,9.77
27.65,20.73,9.38,40.8
75.0,56.66,25.3,2.43
55.87,44.51,24.94,17.0
93.47,79.5,56.87,1.53
95.93,87.9,74.69,1.27
72.66,54.09,35.48,10.1
58.55,37.61,10.99,4.03
91.0,83.64,63.85,9.68
41.47,30.59,17.79,38.57
93.24,79.51,48.14,1.38
95.81,87.9,69.62,1.19
72.18,52.47,28.21,4.14
77.99,60.16,38.78,3.22
94.02,80.13,57.8,1.4
88.23,82.13,66.79,10.65
91.67,77.03,54.1,1.69
83.75,67.5,37.27,2.02
43.86,29.77,20.19,12.51
90.3,81.31,61.51,9.76
90.3,83.41,65.36,9.89
95.59,89.25,73.82,1.32
33.33,24.58,4.54,19.62
